ID of Interconnected Segment,% of Total Skeleton Length
1,12.507
2,4.7816
3,3.3581
4,3.066
5,3.0005
6,2.8659
7,2.6372
8,2.6188
9,2.5233
10,2.158
11,1.7389
12,1.6005
13,1.5196
14,1.4319
15,1.2274
16,1.2272
17,1.0924
18,1.0622
19,1.0433
20,0.89518
21,0.89318
22,0.85473
23,0.85178
24,0.81884
25,0.77997
26,0.71676
27,0.69024
28,0.65129
29,0.63681
30,0.62541
31,0.54606
32,0.53024
33,0.50582
34,0.50476
35,0.49914
36,0.49586
37,0.47344
38,0.46694
39,0.45854
40,0.41403
41,0.40319
42,0.40052
43,0.39226
44,0.34716
45,0.33727
46,0.33724
47,0.33707
48,0.33637
49,0.31185
50,0.3045
51,0.30417
52,0.30096
53,0.29398
54,0.28882
55,0.28354
56,0.27754
57,0.27227
58,0.27206
59,0.2698
60,0.25401
61,0.2409
62,0.22961
63,0.22936
64,0.22728
65,0.22369
66,0.22254
67,0.21171
68,0.20672
69,0.19773
70,0.19091
71,0.19083
72,0.18721
73,0.18383
74,0.18313
75,0.18308
76,0.1786
77,0.17091
78,0.16919
79,0.16637
80,0.16585
81,0.16282
82,0.16164
83,0.15619
84,0.15348
85,0.15181
86,0.15169
87,0.14949
88,0.14536
89,0.1428
90,0.14228
91,0.13976
92,0.1387
93,0.13314
94,0.13256
95,0.1276
96,0.1271
97,0.12658
98,0.12472
99,0.12392
100,0.12322
101,0.11866
102,0.11527
103,0.1138
104,0.11369
105,0.11305
106,0.1089
107,0.10774
108,0.10642
109,0.1051
110,0.10368
111,0.10047
112,0.098786
113,0.098252
114,0.097721
115,0.096855
116,0.096253
117,0.096147
118,0.095509
119,0.093064
120,0.092988
121,0.092745
122,0.092265
123,0.09111
124,0.090967
125,0.090507
126,0.08956
127,0.086939
128,0.086104
129,0.085973
130,0.083259
131,0.082797
132,0.082697
133,0.078794
134,0.078651
135,0.078639
136,0.077232
137,0.07648
138,0.076321
139,0.076296
140,0.07564
141,0.075584
142,0.075549
143,0.075534
144,0.075275
145,0.075012
146,0.074995
147,0.074963
148,0.073359
149,0.073222
150,0.072985
151,0.07293
152,0.072347
153,0.071836
154,0.071258
155,0.070895
156,0.070803
157,0.069485
158,0.069253
159,0.069083
160,0.068792
161,0.068374
162,0.067741
163,0.067226
164,0.067058
165,0.066895
166,0.066838
167,0.066716
168,0.065843
169,0.065799
170,0.065673
171,0.065071
172,0.064853
173,0.064347
174,0.064183
175,0.06413
176,0.063912
177,0.063875
178,0.063846
179,0.063517
180,0.063479
181,0.063167
182,0.062297
183,0.062086
184,0.062029
185,0.061338
186,0.060298
187,0.060291
188,0.060215
189,0.060143
190,0.059862
191,0.059642
192,0.058937
193,0.057912
194,0.057826
195,0.057585
196,0.057447
197,0.057087
198,0.056879
199,0.056848
200,0.056779
201,0.056637
202,0.0563
203,0.056211
204,0.055909
205,0.055376
206,0.05522
207,0.055121
208,0.054737
209,0.054143
210,0.054125
211,0.053841
212,0.053718
213,0.053441
214,0.053384
215,0.053267
216,0.053081
217,0.053027
218,0.052819
219,0.052561
220,0.052071
221,0.051983
222,0.05194
223,0.051573
224,0.051326
225,0.050603
226,0.050035
227,0.04999
228,0.049753
229,0.049555
230,0.049335
231,0.049253
232,0.048979
233,0.048777
234,0.048774
235,0.048661
236,0.048624
237,0.048581
238,0.04842
239,0.048248
240,0.047692
241,0.047461
242,0.04729
243,0.047161
244,0.046984
245,0.046933
246,0.046809
247,0.046748
248,0.046619
249,0.04622
250,0.0461
251,0.045925
252,0.045904
253,0.045353
254,0.045248
255,0.045243
256,0.04489
257,0.044249
258,0.044235
259,0.04417
260,0.044102
261,0.044097
262,0.044094
263,0.044035
264,0.043892
265,0.043825
266,0.043676
267,0.043459
268,0.043359
269,0.043347
270,0.043238
271,0.042833
272,0.042784
273,0.042655
274,0.042509
275,0.042424
276,0.042417
277,0.042381
278,0.042316
279,0.04229
280,0.041879
281,0.041814
282,0.041541
283,0.041525
284,0.041516
285,0.041363
286,0.04135
287,0.040911
288,0.040868
289,0.040823
290,0.040774
291,0.04076
292,0.040703
293,0.040646
294,0.040614
295,0.040459
296,0.040412
297,0.040242
298,0.040228
299,0.040193
300,0.040192
301,0.040097
302,0.039977
303,0.039849
304,0.039834
305,0.039696
306,0.039645
307,0.039565
308,0.03955
309,0.039527
310,0.039442
311,0.039417
312,0.039367
313,0.039189
314,0.039161
315,0.039047
316,0.039011
317,0.03886
318,0.038534
319,0.038463
320,0.038203
321,0.038154
322,0.038141
323,0.038038
324,0.037957
325,0.037851
326,0.037783
327,0.037742
328,0.037736
329,0.037732
330,0.037496
331,0.037329
332,0.037205
333,0.037036
334,0.036851
335,0.036632
336,0.036601
337,0.036565
338,0.036457
339,0.036368
340,0.036291
341,0.036115
342,0.036065
343,0.03596
344,0.035942
345,0.035877
346,0.035854
347,0.035625
348,0.035529
349,0.035485
350,0.035474
351,0.035435
352,0.035339
353,0.035216
354,0.035207
355,0.035008
356,0.034951
357,0.034884
358,0.034881
359,0.034787
360,0.034308
361,0.034086
362,0.033943
363,0.033783
364,0.033767
365,0.033752
366,0.033714
367,0.033708
368,0.033552
369,0.033379
370,0.033297
371,0.033268
372,0.033235
373,0.033209
374,0.033154
375,0.033118
376,0.033023
377,0.032736
378,0.032721
379,0.032706
380,0.032684
381,0.032674
382,0.032548
383,0.032542
384,0.03253
385,0.032392
386,0.03232
387,0.032299
388,0.032185
389,0.032165
390,0.031988
391,0.031812
392,0.031734
393,0.031602
394,0.031522
395,0.031491
396,0.031236
397,0.031182
398,0.031129
399,0.031035
400,0.030949
401,0.030929
402,0.030928
403,0.0309
404,0.030844
405,0.030651
406,0.030317
407,0.030313
408,0.030278
409,0.030178
410,0.03017
411,0.029952
412,0.029916
413,0.029869
414,0.029863
415,0.029735
416,0.029573
417,0.029506
418,0.029504
419,0.029414
420,0.029328
421,0.02927
422,0.029255
423,0.029196
424,0.028986
425,0.028618
426,0.028602
427,0.028586
428,0.028494
429,0.028441
430,0.028363
431,0.028312
432,0.02825
433,0.028143
434,0.028053
435,0.028045
436,0.027933
437,0.027891
438,0.02788
439,0.027874
440,0.027811
441,0.027676
