Bin,Bin Center,Count,Cumulative Count,Relative Frequency,Cumulative Frequency
0.55638-2.6967,1.6265474290393152,2872,2872,0.4789859906604403,0.4789859906604403
2.6967-4.8371,3.7668911929864226,1468,4340,0.2448298865910607,0.723815877251501
4.8371-6.9774,5.9072349569335305,583,4923,0.09723148765843896,0.8210473649099399
6.9774-9.1178,8.047578720880637,336,5259,0.056037358238825885,0.8770847231487657
9.1178-11.258,10.187922484827745,185,5444,0.03085390260173449,0.9079386257505002
11.258-13.398,12.328266248774852,118,5562,0.019679786524349565,0.9276184122748498
13.398-15.539,14.468610012721959,83,5645,0.013842561707805203,0.9414609739826549
15.539-17.679,16.60895377666907,73,5718,0.012174783188792528,0.9536357571714474
17.679-19.819,18.749297540616176,56,5774,0.009339559706470981,0.9629753168779184
19.819-21.96,20.889641304563284,43,5817,0.007171447631754503,0.9701467645096729
21.96-24.1,23.029985068510392,22,5839,0.003669112741827885,0.9738158772515008
24.1-26.241,25.1703288324575,27,5866,0.0045030020013342225,0.978318879252835
26.241-28.381,27.310672596404604,14,5880,0.0023348899266177454,0.9806537691794528
28.381-30.521,29.451016360351712,10,5890,0.001667778519012675,0.9823215476984655
30.521-32.662,31.59136012429882,12,5902,0.0020013342228152103,0.9843228819212807
32.662-34.802,33.73170388824593,19,5921,0.0031687791861240828,0.9874916611074048
34.802-36.942,35.87204765219303,6,5927,0.0010006671114076052,0.9884923282188124
36.942-39.083,38.01239141614015,5,5932,0.0008338892595063375,0.9893262174783187
39.083-41.223,40.15273518008725,8,5940,0.00133422281521014,0.9906604402935288
41.223-43.363,42.29307894403436,3,5943,0.0005003335557038026,0.9911607738492326
43.363-45.504,44.433422707981464,6,5949,0.0010006671114076052,0.9921614409606402
45.504-47.644,46.57376647192858,2,5951,0.000333555703802535,0.9924949966644427
47.644-49.784,48.71411023587568,2,5953,0.000333555703802535,0.9928285523682453
49.784-51.925,50.85445399982279,3,5956,0.0005003335557038026,0.9933288859239491
51.925-54.065,52.994797763769895,6,5962,0.0010006671114076052,0.9943295530353566
54.065-56.205,55.135141527716996,2,5964,0.000333555703802535,0.9946631087391592
56.205-58.346,57.27548529166411,1,5965,0.0001667778519012675,0.9948298865910604
58.346-60.486,59.41582905561121,6,5971,0.0010006671114076052,0.995830553702468
60.486-62.626,61.55617281955833,1,5972,0.0001667778519012675,0.9959973315543692
62.626-64.767,63.69651658350543,2,5974,0.000333555703802535,0.9963308872581718
64.767-66.907,65.83686034745253,2,5976,0.000333555703802535,0.9966644429619743
66.907-69.047,67.97720411139964,0,5976,0.0,0.9966644429619743
69.047-71.188,70.11754787534674,0,5976,0.0,0.9966644429619743
71.188-73.328,72.25789163929386,0,5976,0.0,0.9966644429619743
73.328-75.468,74.39823540324096,0,5976,0.0,0.9966644429619743
75.468-77.609,76.53857916718806,1,5977,0.0001667778519012675,0.9968312208138755
77.609-79.749,78.67892293113518,0,5977,0.0,0.9968312208138755
79.749-81.889,80.81926669508229,0,5977,0.0,0.9968312208138755
81.889-84.03,82.95961045902939,2,5979,0.000333555703802535,0.9971647765176781
84.03-86.17,85.09995422297649,1,5980,0.0001667778519012675,0.9973315543695793
86.17-88.31,87.24029798692361,2,5982,0.000333555703802535,0.9976651100733819
88.31-90.451,89.38064175087072,0,5982,0.0,0.9976651100733819
90.451-92.591,91.52098551481782,2,5984,0.000333555703802535,0.9979986657771844
92.591-94.732,93.66132927876492,0,5984,0.0,0.9979986657771844
94.732-96.872,95.80167304271204,0,5984,0.0,0.9979986657771844
96.872-99.012,97.94201680665915,0,5984,0.0,0.9979986657771844
99.012-101.15,100.08236057060626,1,5985,0.0001667778519012675,0.9981654436290857
101.15-103.29,102.22270433455336,0,5985,0.0,0.9981654436290857
103.29-105.43,104.36304809850046,0,5985,0.0,0.9981654436290857
105.43-107.57,106.50339186244757,0,5985,0.0,0.9981654436290857
107.57-109.71,108.64373562639469,2,5987,0.000333555703802535,0.9984989993328882
109.71-111.85,110.78407939034179,0,5987,0.0,0.9984989993328882
111.85-113.99,112.92442315428889,1,5988,0.0001667778519012675,0.9986657771847894
113.99-116.13,115.064766918236,0,5988,0.0,0.9986657771847894
116.13-118.28,117.20511068218312,1,5989,0.0001667778519012675,0.9988325550366907
118.28-120.42,119.34545444613022,0,5989,0.0,0.9988325550366907
120.42-122.56,121.48579821007732,1,5990,0.0001667778519012675,0.9989993328885919
122.56-124.7,123.62614197402443,0,5990,0.0,0.9989993328885919
124.7-126.84,125.76648573797155,0,5990,0.0,0.9989993328885919
126.84-128.98,127.90682950191865,0,5990,0.0,0.9989993328885919
128.98-131.12,130.04717326586575,2,5992,0.000333555703802535,0.9993328885923944
131.12-133.26,132.18751702981285,1,5993,0.0001667778519012675,0.9994996664442957
133.26-135.4,134.32786079375998,0,5993,0.0,0.9994996664442957
135.4-137.54,136.46820455770708,0,5993,0.0,0.9994996664442957
137.54-139.68,138.60854832165418,1,5994,0.0001667778519012675,0.9996664442961969
139.68-141.82,140.74889208560128,1,5995,0.0001667778519012675,0.9998332221480981
141.82-143.96,142.8892358495484,0,5995,0.0,0.9998332221480981
143.96-146.1,145.0295796134955,0,5995,0.0,0.9998332221480981
146.1-148.24,147.16992337744261,0,5995,0.0,0.9998332221480981
148.24-150.38,149.31026714138972,0,5995,0.0,0.9998332221480981
150.38-152.52,151.45061090533682,0,5995,0.0,0.9998332221480981
152.52-154.66,153.59095466928395,0,5995,0.0,0.9998332221480981
154.66-156.8,155.73129843323105,0,5995,0.0,0.9998332221480981
156.8-158.94,157.87164219717815,0,5995,0.0,0.9998332221480981
158.94-161.08,160.01198596112528,0,5995,0.0,0.9998332221480981
161.08-163.22,162.15232972507238,0,5995,0.0,0.9998332221480981
163.22-165.36,164.29267348901948,0,5995,0.0,0.9998332221480981
165.36-167.5,166.43301725296658,0,5995,0.0,0.9998332221480981
167.5-169.64,168.57336101691368,0,5995,0.0,0.9998332221480981
169.64-171.78,170.7137047808608,0,5995,0.0,0.9998332221480981
171.78-173.92,172.8540485448079,0,5995,0.0,0.9998332221480981
173.92-176.06,174.994392308755,0,5995,0.0,0.9998332221480981
176.06-178.2,177.1347360727021,0,5995,0.0,0.9998332221480981
178.2-180.35,179.27507983664924,0,5995,0.0,0.9998332221480981
180.35-182.49,181.41542360059634,0,5995,0.0,0.9998332221480981
182.49-184.63,183.55576736454344,0,5995,0.0,0.9998332221480981
184.63-186.77,185.69611112849054,0,5995,0.0,0.9998332221480981
186.77-188.91,187.83645489243764,0,5995,0.0,0.9998332221480981
188.91-191.05,189.97679865638477,0,5995,0.0,0.9998332221480981
191.05-193.19,192.11714242033187,0,5995,0.0,0.9998332221480981
193.19-195.33,194.25748618427897,0,5995,0.0,0.9998332221480981
195.33-197.47,196.3978299482261,0,5995,0.0,0.9998332221480981
197.47-199.61,198.5381737121732,0,5995,0.0,0.9998332221480981
199.61-201.75,200.6785174761203,0,5995,0.0,0.9998332221480981
201.75-203.89,202.8188612400674,0,5995,0.0,0.9998332221480981
203.89-206.03,204.9592050040145,0,5995,0.0,0.9998332221480981
206.03-208.17,207.0995487679616,0,5995,0.0,0.9998332221480981
208.17-210.31,209.23989253190874,0,5995,0.0,0.9998332221480981
210.31-212.45,211.38023629585584,0,5995,0.0,0.9998332221480981
212.45-214.59,213.52058005980294,1,5996,0.0001667778519012675,0.9999999999999993
