Bin,Bin Center,Count,Cumulative Count,Relative Frequency,Cumulative Frequency
0-0.2,0.1,5289,5289,0.477303492464579,0.477303492464579
0.2-0.4,0.30000000000000004,4220,9509,0.38083205486869415,0.8581355473332731
0.4-0.6,0.5,1124,10633,0.10143488854796498,0.9595704358812381
0.6-0.8,0.7000000000000001,238,10871,0.02147820593809223,0.9810486418193304
0.8-1,0.9,75,10946,0.006768342207382005,0.9878169840267124
1-1.2,1.1,25,10971,0.002256114069127335,0.9900730980958397
1.2-1.4,1.3000000000000003,25,10996,0.002256114069127335,0.992329212164967
1.4-1.6,1.5,23,11019,0.002075624943597148,0.9944048371085641
1.6-1.8,1.7000000000000002,18,11037,0.0016244021297716813,0.9960292392383358
1.8-2,1.9,7,11044,0.0006317119393556538,0.9966609511776914
2-2.2,2.1,5,11049,0.000451222813825467,0.9971121739915169
2.2-2.4,2.3000000000000003,10,11059,0.000902445627650934,0.9980146196191678
2.4-2.6,2.5,4,11063,0.00036097825106037363,0.9983755978702282
2.6-2.8,2.7,4,11067,0.00036097825106037363,0.9987365761212886
2.8-3,2.9000000000000004,2,11069,0.00018048912553018682,0.9989170652468188
3-3.2,3.1,6,11075,0.0005414673765905604,0.9994585326234093
3.2-3.4,3.3000000000000003,2,11077,0.00018048912553018682,0.9996390217489395
3.4-3.6,3.5,2,11079,0.00018048912553018682,0.9998195108744696
3.6-3.8,3.7,0,11079,0.0,0.9998195108744696
3.8-4,3.9000000000000004,0,11079,0.0,0.9998195108744696
4-4.2,4.1,1,11080,9.024456276509341e-05,0.9999097554372347
4.2-4.4,4.300000000000001,0,11080,0.0,0.9999097554372347
4.4-4.6,4.5,0,11080,0.0,0.9999097554372347
4.6-4.8,4.700000000000001,0,11080,0.0,0.9999097554372347
4.8-5,4.9,0,11080,0.0,0.9999097554372347
5-5.2,5.1,0,11080,0.0,0.9999097554372347
5.2-5.4,5.300000000000001,0,11080,0.0,0.9999097554372347
5.4-5.6,5.5,1,11081,9.024456276509341e-05,0.9999999999999998
