Bin,Bin Center,Count,Cumulative Count,Relative Frequency,Cumulative Frequency
15.655-133.42,74.53869682380001,658,658,0.21947965310206805,0.21947965310206805
133.42-251.19,192.3053452314,754,1412,0.2515010006671114,0.4709806537691794
251.19-368.96,310.071993639,470,1882,0.15677118078719146,0.6277518345563708
368.96-486.72,427.8386420466,301,2183,0.10040026684456305,0.7281521014009339
486.72-604.49,545.6052904542,194,2377,0.06470980653769179,0.7928619079386257
604.49-722.26,663.3719388618,118,2495,0.03935957304869913,0.8322214809873247
722.26-840.02,781.1385872694,101,2596,0.03368912608405604,0.8659106070713808
840.02-957.79,898.9052356770001,79,2675,0.026350900600400268,0.892261507671781
957.79-1075.6,1016.6718840846,44,2719,0.01467645096731154,0.9069379586390925
1075.6-1193.3,1134.4385324922,52,2771,0.01734489659773182,0.9242828552368244
1193.3-1311.1,1252.2051808997999,43,2814,0.014342895263509006,0.9386257505003334
1311.1-1428.9,1369.9718293074002,30,2844,0.01000667111407605,0.9486324216144094
1428.9-1546.6,1487.738477715,18,2862,0.00600400266844563,0.954636424282855
1546.6-1664.4,1605.5051261226,31,2893,0.010340226817878585,0.9649766511007336
1664.4-1782.2,1723.2717745302,19,2912,0.0063375583722481655,0.9713142094729817
1782.2-1899.9,1841.0384229378,10,2922,0.00333555703802535,0.9746497665110071
1899.9-2017.7,1958.8050713454,14,2936,0.004669779853235491,0.9793195463642426
2017.7-2135.5,2076.5717197530003,7,2943,0.0023348899266177454,0.9816544362908604
2135.5-2253.2,2194.3383681606,11,2954,0.003669112741827885,0.9853235490326883
2253.2-2371,2312.1050165682,5,2959,0.001667778519012675,0.9869913275517009
2371-2488.8,2429.8716649758,8,2967,0.00266844563042028,0.9896597731821212
2488.8-2606.5,2547.6383133834,8,2975,0.00266844563042028,0.9923282188125414
2606.5-2724.3,2665.404961791,4,2979,0.00133422281521014,0.9936624416277515
2724.3-2842.1,2783.1716101986003,2,2981,0.00066711140760507,0.9943295530353566
2842.1-2959.8,2900.9382586062,6,2987,0.0020013342228152103,0.9963308872581719
2959.8-3077.6,3018.7049070138,1,2988,0.000333555703802535,0.9966644429619744
3077.6-3195.4,3136.4715554214,2,2990,0.00066711140760507,0.9973315543695795
3195.4-3313.1,3254.2382038289998,2,2992,0.00066711140760507,0.9979986657771847
3313.1-3430.9,3372.0048522366,2,2994,0.00066711140760507,0.9986657771847898
3430.9-3548.7,3489.7715006442,0,2994,0.0,0.9986657771847898
3548.7-3666.4,3607.5381490518002,0,2994,0.0,0.9986657771847898
3666.4-3784.2,3725.3047974594,1,2995,0.000333555703802535,0.9989993328885923
3784.2-3902,3843.071445867,2,2997,0.00066711140760507,0.9996664442961974
3902-4019.7,3960.8380942746,0,2997,0.0,0.9996664442961974
4019.7-4137.5,4078.6047426821997,1,2998,0.000333555703802535,1.0
4137.5-4255.3,4196.3713910898,0,2998,0.0,1.0
4255.3-4373,4314.1380394974,0,2998,0.0,1.0
4373-4490.8,4431.904687905,0,2998,0.0,1.0
4490.8-4608.6,4549.6713363126,0,2998,0.0,1.0
4608.6-4726.3,4667.4379847202,0,2998,0.0,1.0
4726.3-4844.1,4785.2046331278,0,2998,0.0,1.0
4844.1-4961.9,4902.9712815354,0,2998,0.0,1.0
4961.9-5079.6,5020.737929943,0,2998,0.0,1.0
5079.6-5197.4,5138.5045783506,0,2998,0.0,1.0
5197.4-5315.2,5256.2712267582,0,2998,0.0,1.0
5315.2-5432.9,5374.0378751658,0,2998,0.0,1.0
5432.9-5550.7,5491.8045235734,0,2998,0.0,1.0
5550.7-5668.5,5609.571171981001,0,2998,0.0,1.0
5668.5-5786.2,5727.3378203886,0,2998,0.0,1.0
5786.2-5904,5845.1044687962,0,2998,0.0,1.0
