Graph ID,Number of Segments,Mean Length,Mean Radius,Total Volume,Total Length,Number of Nodes,Intermediate Nodes,Terminal Nodes,Branching Nodes,Isolated Nodes
Graph0,200,983.6394,303.07516,96589660000,196727.88,155,0,45,110,0
Graph1,89,845.06628,97.104324,5445011500,75210.898,71,0,23,48,0
Graph2,74,609.1745,102.70184,2366508000,45078.914,55,0,12,43,0
Graph3,60,880.33484,172.59926,7518077400,52820.09,46,0,11,35,0
Graph4,56,861.17694,100.75759,1852575600,48225.91,50,0,21,29,0
Graph5,55,754.2041,193.60831,6120660500,41481.227,44,0,13,31,0
Graph6,50,678.88025,102.67739,1695821600,33944.012,40,0,14,26,0
Graph7,49,963.1839,554.21466,72917860000,47196.012,37,0,9,28,0
Graph8,45,915.36285,174.32127,7274116600,41191.328,40,0,17,23,0
Graph9,33,724.31317,299.69864,7847995900,23902.334,24,0,4,20,0
Graph10,32,1240.2892,214.28664,8561230300,39689.254,29,0,12,17,0
Graph11,31,812.08954,130.96971,1832679400,25174.775,27,0,10,17,0
Graph12,26,742.51532,220.51952,3190423000,19305.398,19,0,4,15,0
Graph13,25,656.43982,57.866138,218620660,16410.996,24,0,12,12,0
Graph14,25,772.1333,124.24214,1194759200,19303.332,19,0,6,13,0
Graph15,22,1243.2686,468.10892,26042358000,27351.908,18,0,5,13,0
Graph16,18,782.24286,63.351521,211022370,14080.371,16,0,6,10,0
Graph17,17,1010.7448,328.39749,9865538600,17182.662,14,0,5,9,0
Graph18,16,1407.6902,146.60187,9852223500,22523.043,16,0,8,8,0
Graph19,16,766.76935,197.00662,3307026400,12268.31,12,0,3,9,0
Graph20,15,858.64722,228.63998,3148181000,12879.708,12,0,5,7,0
Graph21,15,936.59906,152.25871,1412333600,14048.986,12,0,3,9,0
Graph22,12,853.69257,73.174187,188452740,10244.311,9,0,2,7,0
Graph23,11,1518.8016,601.90717,16273199000,16706.818,10,0,4,6,0
Graph24,11,910.59198,241.09908,2935267600,10016.512,10,0,4,6,0
Graph25,11,713.7392,82.078911,344577410,7851.1313,10,0,5,5,0
Graph26,10,983.724,264.97235,2712546600,9837.2402,9,0,4,5,0
Graph27,10,1339.7753,616.2865,21978843000,13397.753,10,0,5,5,0
Graph28,10,858.91052,62.702312,130355760,8589.1055,10,0,5,5,0
Graph29,10,744.68152,154.72993,952017410,7446.8154,8,0,2,6,0
Graph30,10,1344.4263,395.27679,10910937000,13444.263,10,0,5,5,0
Graph31,10,1085.6948,502.11172,11318439000,10856.948,8,0,2,6,0
Graph32,9,589.44299,139.67722,768821310,5304.9868,9,0,5,4,0
Graph33,9,866.60321,254.6506,1611150100,7799.4287,7,0,2,5,0
