BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,Breadth3d (?m) ,Length3d (?m) ,Width3d (?m) ,Thickness3d (?m) ,a,b,c,EqDiameter,Area3d (?m^2) ,Volume3d,OrientationPhi,OrientationTheta,Shape_VA3d,Sphericity,index
29247.2,7715.88,3065.48,1999.71,4301.46,1767.76,1287.93,4301.46,1767.76,1287.93,1737.08,1.65E+07,2.74E+09,60.0389,25.0654,5.25149,0.575315,1
40701,6995.08,1865.35,60.9199,114.147,71.4004,52.2807,114.147,71.4004,52.2807,80.9971,15146.6,278232,90,0,0.396898,1.36074,2
36599.4,8165.02,1938.99,222.196,420.065,230.096,204.694,420.065,230.096,204.694,216.133,158221,5.29E+06,49.1026,-133.009,1.25319,0.92753,3
36084.7,8403.95,2048.6,397.039,759.845,303.127,259.728,759.845,303.127,259.728,379.062,535387,2.85E+07,46.442,-153.928,1.66836,0.843147,4
39009.4,23723.8,1871.45,264.221,535.789,144.496,114.627,535.789,144.496,114.627,208.266,188445,4.73E+06,89.1493,-33.6502,2.64477,0.72311,5
38955.1,24352.6,1883.05,405.048,699.587,154.842,123.257,699.587,154.842,123.257,279.296,340531,1.14E+07,89.8226,163.728,2.68309,0.71965,6
29260.3,7414.01,2120.02,273.188,309.802,240.372,233.796,309.802,240.372,233.796,232.002,168243,6.54E+06,47.3336,-98.164,0.984939,1.00507,7
36529,7180.49,2703.92,297.485,1404.09,291.985,247.341,1404.09,291.985,247.341,366.311,650171,2.57E+07,41.1846,-154.077,3.66888,0.648369,8
35593.7,7435.51,2167.61,205.019,304.79,191.776,184.484,304.79,191.776,184.484,199.756,122514,4.17E+06,52.7732,-87.6453,0.933484,1.02321,9
42744.7,7010.32,2203.68,203.969,267.168,148.166,116.305,267.168,148.166,116.305,165.301,87890.9,2.36E+06,62.205,178.631,1.07332,0.976691,10
35661.3,7711.86,2225.59,262.328,407.001,191.625,190.413,407.001,191.625,190.413,223.465,169587,5.84E+06,88.4048,-172.3,1.2632,0.925072,11
33376.3,7933.73,4485.25,2707.81,6316.49,2206.04,1703.61,6316.49,2206.04,1703.61,2206.41,2.93E+07,5.62E+09,52.0573,167.59,7.01523,0.522379,12
39587,23386,2314.42,92.8884,147.017,75.272,54.8835,147.017,75.272,54.8835,92.7185,21670.3,417347,45,90,0.516588,1.24629,13
35056.4,8206.62,2554.03,243.074,391.417,258.293,235.128,391.417,258.293,235.128,244.482,202714,7.65E+06,51.5195,-11.534,1.25812,0.926317,14
32376.8,9384.72,2727.68,657.539,948.778,505.472,462.683,948.778,505.472,462.683,595.296,1.24E+06,1.10E+08,57.6199,-26.889,1.39711,0.894519,15
29448.4,9660.69,2464.11,140.343,201.164,118.632,131.32,201.164,131.32,118.632,133.723,49760.7,1.25E+06,72.4516,-161.565,0.694975,1.12896,16
27223.3,10943.9,2592.18,401.075,652.43,269.022,227.547,652.43,269.022,227.547,308.028,380167,1.53E+07,81.5078,104.953,2.0746,0.784071,17
38835.6,23653.7,2500.09,131.371,199.457,122.393,116.035,199.457,122.393,116.035,128.575,46771,1.11E+06,31.0308,-45,0.730374,1.11041,18
